"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 17 20:29:40 GMT 2023","Mon Apr 17 20:29:41 GMT 2023","791","test","test_automation","TestEditProfile","","","Korábban regisztrált felhasználó email címének sikertelen megváltoztatatása már létező email cím miatt.",""
"passed","Mon Apr 17 20:29:13 GMT 2023","Mon Apr 17 20:29:14 GMT 2023","908","test","test_automation","TestLogin","","","Korábban regisztrált felhasznói fiókkal történő sikertelen bejelentkezés hibás jelszó miatt.",""
"passed","Mon Apr 17 20:29:29 GMT 2023","Mon Apr 17 20:29:30 GMT 2023","1030","test","test_automation","TestEditProfile","","","Korábban regisztrált felhasználó felhasználónevévek sikertelen megváltoztatatása név nem megadása miatt.",""
"passed","Mon Apr 17 20:28:45 GMT 2023","Mon Apr 17 20:28:46 GMT 2023","1255","test","test_automation","TestRegistration","","","Új felhasználó fiók sikertelen létrehozása hiányos felhasználónév megadásával.",""
"passed","Mon Apr 17 20:31:02 GMT 2023","Mon Apr 17 20:31:03 GMT 2023","1821","test","test_automation","TestWriteAndDeleteArticle","","","Korábban már regisztrált felhasználói fiókkal új cikk sikeres létrehozása.",""
"passed","Mon Apr 17 20:29:51 GMT 2023","Mon Apr 17 20:29:59 GMT 2023","8555","test","test_automation","TestRepeatedInputFromSource","","","Sorozatos sikeres regisztráció user_data.csv fájlból",""
"passed","Mon Apr 17 20:28:49 GMT 2023","Mon Apr 17 20:28:50 GMT 2023","898","test","test_automation","TestRegistration","","","Új felhasználó fiók sikertelen létrehozása hiányos jelszó megadásával.",""
"passed","Mon Apr 17 20:29:15 GMT 2023","Mon Apr 17 20:29:16 GMT 2023","896","test","test_automation","TestLogin","","","Korábban regisztrált felhasznói fiókkal történő sikeres bejelentkezés.",""
"passed","Mon Apr 17 20:29:11 GMT 2023","Mon Apr 17 20:29:12 GMT 2023","393","test","test_automation","TestLogin","","","Korábban még nem regisztrált felhasznói fiókkal történő sikertelen bejelentkezés.",""
"passed","Mon Apr 17 20:28:57 GMT 2023","Mon Apr 17 20:29:07 GMT 2023","10403","test","test_automation","TestPrivacyPolicy","","","Adatkezelési tájékoztató sikeres elfogadása.",""
"passed","Mon Apr 17 20:31:26 GMT 2023","Mon Apr 17 20:31:38 GMT 2023","12522","test","test_automation","TestListAndSaveData","","","Felhasználó saját cikkjeinek sikeres bejárása",""
"passed","Mon Apr 17 20:31:23 GMT 2023","Mon Apr 17 20:31:24 GMT 2023","727","test","test_automation","TestListAndSaveData","","","Népszerű címkék sikeres listázása címkefelhőből",""
"passed","Mon Apr 17 20:29:09 GMT 2023","Mon Apr 17 20:29:09 GMT 2023","304","test","test_automation","TestLogin","","","Korábban regisztrált felhasznói fiókkal történő sikertelen bejelentkezés jelszó mező üresen hagyása miatt.",""
"passed","Mon Apr 17 20:29:36 GMT 2023","Mon Apr 17 20:29:38 GMT 2023","1248","test","test_automation","TestEditProfile","","","Korábban regisztrált felhasználó email címének sikertelen megváltoztatatásaemail cím mező üresen hagyása miatt.",""
"passed","Mon Apr 17 20:31:09 GMT 2023","Mon Apr 17 20:31:22 GMT 2023","12765","test","test_automation","TestWriteAndDeleteArticle","","","Korábban létrehozott cikk sikeres törlése.",""
"passed","Mon Apr 17 20:28:55 GMT 2023","Mon Apr 17 20:28:56 GMT 2023","1012","test","test_automation","TestRegistration","","","Új felhasználó fiók sikertelen létrehozása már regisztrált email cím megadásával.",""
"passed","Mon Apr 17 20:30:00 GMT 2023","Mon Apr 17 20:30:59 GMT 2023","59123","test","test_automation","TestRepeatedInputFromSource","","","Sorozatos sikeres cikk hozzáadása article_data.tsv fájlból",""
"failed","Mon Apr 17 20:29:43 GMT 2023","Mon Apr 17 20:29:44 GMT 2023","1082","test","test_automation","TestEditProfile","","","Korábban már regisztrált felhasználói fiók bemutatkozásának sikeres módosítása.",""
"passed","Mon Apr 17 20:29:17 GMT 2023","Mon Apr 17 20:29:18 GMT 2023","639","test","test_automation","TestLogout","","","Korábban létrehozott felhasználóval történő bejelentkezés után sikeres kijelentkezés végrehajtása.",""
"passed","Mon Apr 17 20:31:06 GMT 2023","Mon Apr 17 20:31:07 GMT 2023","1473","test","test_automation","TestWriteAndDeleteArticle","","","Korábban már regisztrált felhasználói fiókkal új cikk sikertelen létrehozása cikk címének hiánya miatt.",""
"passed","Mon Apr 17 20:28:47 GMT 2023","Mon Apr 17 20:28:48 GMT 2023","886","test","test_automation","TestRegistration","","","Új felhasználó fiók sikertelen létrehozása hiányos email cím megadásával.",""
"passed","Mon Apr 17 20:29:47 GMT 2023","Mon Apr 17 20:29:49 GMT 2023","2336","test","test_automation","TestEditProfile","","","Korábban regisztrált felhasználói fiók jelszavának sikeres megváltoztatása.",""
"passed","Mon Apr 17 20:31:40 GMT 2023","Mon Apr 17 20:31:53 GMT 2023","13439","test","test_automation","TestListAndSaveData","","","Globális hírfolyam cikk címeinek mentése saved_data.tsv fájlba",""
